epoch,train_loss,val_loss,lr
1,0.03898171290714294,0.00027991566015097,0.001
2,0.0013195389440868583,0.0004108388908052196,0.001
3,0.0010703781623446515,0.0006489498074601094,0.001
4,0.0009474951851155077,0.00041767797148476045,0.001
5,0.0008747014161758125,0.0006352628252282739,0.001
6,0.0008327272058783898,0.00029873538422087826,0.001
7,0.0007806097211688757,0.0005229056293486307,0.001
8,0.0007120548597483763,0.0002444374620045225,0.0005
9,0.0006985820355559034,0.00022965922348046054,0.0005
10,0.0006745022143290511,0.00021075997948646547,0.0005
11,0.0006523692156746983,0.0002859614959980051,0.0005
12,0.0006470162581891886,0.00017349318595447888,0.0005
13,0.0006348131549837333,0.0002471163490709538,0.0005
14,0.0005935765508855028,0.0002968917374933759,0.0005
15,0.0006008043746277689,0.00018117036287362376,0.0005
16,0.0005655218160179044,0.0001505023434339091,0.0005
17,0.0005629672051966191,0.00023337249137616407,0.0005
18,0.0005419051515523877,0.0002232362197432667,0.0005
19,0.0005408283326801445,0.0003636748000048101,0.0005
20,0.0005178844368989978,0.00034514827754038074,0.0005
21,0.0004992938820711736,0.0001299631057291602,0.0005
22,0.00048670423901639876,0.00010302116672663639,0.0005
23,0.00046774234462396375,9.016471163369715e-05,0.0005
24,0.0004515767664049885,0.0002513499627805625,0.0005
25,0.0005130987557715604,0.0011332879880815744,0.0005
26,0.0003858921594518636,8.417903024548043e-05,0.0005
27,0.0004395495417674205,3.6346939804886156e-05,0.0005
28,0.0003740769551893962,7.647265230150273e-05,0.0005
29,0.00043369321456045975,8.68425911028559e-05,0.0005
30,0.00034773140003638606,0.0001248320963125055,0.0005
31,0.000369834950084665,0.00016768160205800088,0.0005
32,0.00033706564960203,0.00044458105384372174,0.0005
33,0.0003405913795584014,9.681498927762732e-05,0.0005
34,0.00022843111826372997,6.78500057438699e-05,0.00025
35,0.00022174031736196153,8.917034864192829e-05,0.00025
36,0.00021899822783323804,0.00013331091900200894,0.00025
37,0.00021423551962710917,0.0001909446326115479,0.00025
